english_name,description
Centiskorch,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies."
Clobbopus,"It’s very curious, but its means of investigating things is to try to punch them with its tentacles. The search for food is what brings it onto land."
Grapploct,A body made up of nothing but muscle makes the grappling moves this Pokémon performs with its tentacles tremendously powerful.
Sinistea,"This Pokémon is said to have been born when a lonely spirit possessed a cold, leftover cup of tea."
Polteageist,"This species lives in antique teapots. Most pots are forgeries, but on rare occasions, an authentic work is found."
Hatenna,"Via the protrusion on its head, it senses other creatures’ emotions. If you don’t have a calm disposition, it will never warm up to you."
Hattrem,"No matter who you are, if you bring strong emotions near this Pokémon, it will silence you violently."
Hatterene,It emits psychic power strong enough to cause headaches as a deterrent to the approach of others.
Impidimp,"Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed. It thrives off this negative energy."
Morgrem,"When it gets down on all fours as if to beg for forgiveness, it’s trying to lure opponents in so that it can stab them with its spear-like hair."
Grimmsnarl,"With the hair wrapped around its body helping to enhance its muscles, this Pokémon can overwhelm even Machamp."
Obstagoon,Its voice is staggering in volume. Obstagoon has a tendency to take on a threatening posture and shout—this move is known as Obstruct.
Perrserker,What appears to be an iron helmet is actually hardened hair. This Pokémon lives for the thrill of battle.
Cursola,Its shell is overflowing with its heightened otherworldly energy. The ectoplasm serves as protection for this Pokémon’s core spirit.
Sirfetch'd,"Only Farfetch’d that have survived many battles can attain this evolution. When this Pokémon’s leek withers, it will retire from combat."
Mr. Rime,It’s highly skilled at tap-dancing. It waves its cane of ice in time with its graceful movements.
Runerigus,"A powerful curse was woven into an ancient painting. After absorbing the spirit of a Yamask, the painting began to move."
Milcery,This Pokémon was born from sweet-smelling particles in the air. Its body is made of cream.
Alcremie,"When it trusts a Trainer, it will treat them to berries it's decorated with cream."
Falinks,"Five of them are troopers, and one is the brass. The brass’s orders are absolute."
Pincurchin,"It feeds on seaweed, using its teeth to scrape it off rocks. Electric current flows from the tips of its spines."
Snom,"It spits out thread imbued with a frigid sort of energy and uses it to tie its body to branches, disguising itself as an icicle while it sleeps."
Frosmoth,Icy scales fall from its wings like snow as it flies over fields and mountains. The temperature of its wings is less than −290 degrees Fahrenheit.
Stonjourner,"It stands in grasslands, watching the sun’s descent from zenith to horizon. This Pokémon has a talent for delivering dynamic kicks."
Eiscue,It drifted in on the flow of ocean waters from a frigid place. It keeps its head iced constantly to make sure it stays nice and cold.
Indeedee,"It uses the horns on its head to sense the emotions of others. Males will act as valets for those they serve, looking after their every need."
Morpeko,"As it eats the seeds stored up in its pocket-like pouches, this Pokémon is not just satisfying its constant hunger. It’s also generating electricity."
Cufant,"It digs up the ground with its trunk. It’s also very strong, being able to carry loads of over five tons without any problem at all."
Copperajah,They came over from another region long ago and worked together with humans. Their green skin is resistant to water.
Dracozolt,"In ancient times, it was unbeatable thanks to its powerful lower body, but it went extinct anyway after it depleted all its plant-based food sources."
Arctozolt,The shaking of its freezing upper half is what generates its electricity. It has a hard time walking around.
Dracovish,Powerful legs and jaws made it the apex predator of its time. Its own overhunting of its prey was what drove it to extinction.
Arctovish,"Though it’s able to capture prey by freezing its surroundings, it has trouble eating the prey afterward because its mouth is on top of its head."
Duraludon,"Its body resembles polished metal, and it’s both lightweight and strong. The only drawback is that it rusts easily."
Dreepy,"After being reborn as a ghost Pokémon, Dreepy wanders the areas it used to inhabit back when it was alive in prehistoric seas."
Drakloak,It’s capable of flying faster than 120 mph. It battles alongside Dreepy and dotes on them until they successfully evolve.
Dragapult,"When it isn’t battling, it keeps Dreepy in the holes on its horns. Once a fight starts, it launches the Dreepy like supersonic missiles."
Zacian,"Known as a legendary hero, this Pokémon absorbs metal particles, transforming them into a weapon it uses to battle."
Zamazenta,"In times past, it worked together with a king of the people to save the Galar region. It absorbs metal that it then uses in battle."
Eternatus,The core on its chest absorbs energy emanating from the lands of the Galar region. This energy is what allows Eternatus to stay active.
Kubfu,Kubfu trains hard to perfect its moves. The moves it masters will determine which form it takes when it evolves.
Urshifu,This form of Urshifu is a strong believer in the one-hit KO. Its strategy is to leap in close to foes and land a devastating blow with a hardened fist.
Zarude,"Within dense forests, this Pokémon lives in a pack with others of its kind. It's incredibly aggressive and the other Pokémon of the forest fear it."
Regieleki,This Pokémon is a cluster of electrical energy. It’s said that removing the rings on Regieleki’s body will unleash the Pokémon’s latent power.
Regidrago,An academic theory proposes that Regidrago’s arms were once the head of an ancient dragon Pokémon. The theory remains unproven.
Glastrier,"Glastrier emits intense cold from its hooves. It’s also a belligerent Pokémon—anything it wants, it takes by force."
Spectrier,It probes its surroundings with all its senses save one—it doesn’t use its sense of sight. Spectrier’s kicks are said to separate soul from body.
Calyrex,"Calyrex is a merciful Pokémon, capable of providing healing and blessings. It reigned over the Galar region in times of yore."
